Date,Daily_Demand,Forecast,Error,Absolute_Error,Percentage_Error
2025-06-29,48368,45007.592175717116,3360.4078242828837,3360.4078242828837,6.9475848169924
2025-06-30,47942,44998.03293277325,2943.967067226753,2943.967067226753,6.140684717422621
2025-07-01,45482,44985.28574899345,496.71425100655324,496.71425100655324,1.0921117167375076
2025-07-02,48579,44967.526494147474,3611.4735058525257,3611.4735058525257,7.434227764780102
2025-07-03,44390,44953.5185270351,-563.5185270350994,563.5185270350994,1.2694717887702172
2025-07-04,51968,44933.57944378841,7034.420556211589,7034.420556211589,13.536061723005677
2025-07-05,52594,44916.420512184115,7677.579487815885,7677.579487815885,14.597823873095573
2025-07-06,39075,44900.71923020199,-5825.71923020199,5825.71923020199,14.909070326812515
2025-07-07,43308,44885.25628440753,-1577.2562844075292,1577.2562844075292,3.641951335567399
2025-07-08,43684,44875.9294541932,-1191.9294541932031,1191.9294541932031,2.728526357918696
2025-07-09,46227,44866.32277275969,1360.6772272403105,1360.6772272403105,2.943468594631515
2025-07-10,48214,44854.27683539262,3359.723164607378,3359.723164607378,6.96835600573978
2025-07-11,42544,44849.044143564686,-2305.0441435646862,2305.0441435646862,5.418024030567616
2025-07-12,47923,44845.92452024224,3077.075479757761,3077.075479757761,6.420874068313255
2025-07-13,52669,44841.69687298321,7827.303127016792,7827.303127016792,14.861309550241684
2025-07-14,40740,44836.959688662195,-4096.959688662195,4096.959688662195,10.056356624109462
2025-07-15,43137,44836.61147330535,-1699.6114733053473,1699.6114733053473,3.9400316973951535
2025-07-16,42733,44838.06453282621,-2105.064532826211,2105.064532826211,4.926086473746778
2025-07-17,46244,44837.17489467812,1406.8251053218773,1406.8251053218773,3.042178672523738
2025-07-18,51084,44837.59143117257,6246.408568827428,6246.408568827428,12.22772016448874
2025-07-19,46171,44846.723320217,1324.2766797829972,1324.2766797829972,2.86820012514998
2025-07-20,47602,44861.07112249644,2740.92887750356,2740.92887750356,5.758012011057435
2025-07-21,47643,44870.97019679427,2772.0298032057326,2772.0298032057326,5.8183359637422765
2025-07-22,44986,44880.98579702028,105.01420297972072,105.01420297972072,0.23343752051687353
2025-07-23,44209,44892.36469259826,-683.3646925982612,683.3646925982612,1.5457592178023958
2025-07-24,39929,44902.70108588475,-4973.70108588475,4973.70108588475,12.456362758608403
2025-07-25,48588,44908.00950017633,3679.990499823667,3679.990499823667,7.5738670038356535
2025-07-26,45541,44903.62658532527,637.3734146747302,637.3734146747302,1.3995595500202678
2025-07-27,50586,44899.31909522467,5686.680904775327,5686.680904775327,11.241610138724798
2025-07-28,42546,44895.032552788005,-2349.032552788005,2349.032552788005,5.52115957501999
2025-07-29,41542,44890.9443972518,-3348.9443972517984,3348.9443972517984,8.061586821173266
2025-07-30,48186,44887.056137969616,3298.9438620303845,3298.9438620303845,6.846270414706314
2025-07-31,40766,44883.356911476156,-4117.356911476156,4117.356911476156,10.099977705627621
2025-08-01,47167,44879.95928355892,2287.040716441079,2287.040716441079,4.848815308247459
2025-08-02,47771,44877.04037653931,2893.959623460687,2893.959623460687,6.057984181743499
2025-08-03,43515,44874.49110485612,-1359.491104856119,1359.491104856119,3.1241896009562655
2025-08-04,40676,44872.52149355837,-4196.521493558372,4196.521493558372,10.31694732411833
2025-08-05,47025,44871.05819293751,2153.941807062489,2153.941807062489,4.5804185158160315
2025-08-06,46924,44870.06949169536,2053.930508304642,2053.930508304642,4.37714284439656
2025-08-07,45262,44869.563265271616,392.4367347283842,392.4367347283842,0.8670335706075387
2025-08-08,49283,44869.35105897424,4413.648941025764,4413.648941025764,8.955722949142226
2025-08-09,47734,44869.45200184805,2864.547998151953,2864.547998151953,6.0010642270749415
2025-08-10,42352,44869.95784072989,-2517.9578407298904,2517.9578407298904,5.945310353064532
2025-08-11,32782,44870.65496396874,-12088.654963968736,12088.654963968736,36.87589214803471
2025-08-12,47708,44871.47931209296,2836.5206879070392,2836.5206879070392,5.945587087924539
2025-08-13,46949,44872.472060063286,2076.5279399367137,2076.5279399367137,4.4229439177335275
2025-08-14,42654,44873.65580577666,-2219.6558057766597,2219.6558057766597,5.203863191674074
2025-08-15,45763,44874.89061685903,888.1093831409671,888.1093831409671,1.9406712478224046
2025-08-16,42405,44876.11815299346,-2471.118152993462,2471.118152993462,5.82742165544974
2025-08-17,44919,44877.41626160397,41.58373839603155,41.58373839603155,0.09257494244313441
2025-08-18,47394,44878.743755951684,2515.256244048316,2515.256244048316,5.307119559539849
2025-08-19,47130,44879.81110380951,2250.1888961904915,2250.1888961904915,4.774430078910442
2025-08-20,41118,44880.43576985328,-3762.4357698532767,3762.4357698532767,9.150337491739084
2025-08-21,40718,44880.75128895524,-4162.751288955238,4162.751288955238,10.223368753266953
2025-08-22,39162,44880.74347201975,-5718.743472019749,5718.743472019749,14.602787069148023
2025-08-23,42583,44880.35609800045,-2297.3560980004477,2297.3560980004477,5.395007627458018
2025-08-24,47298,44879.61126507098,2418.3887349290235,2418.3887349290235,5.113088787959372
2025-08-25,54155,44878.66465723412,9276.33534276588,9276.33534276588,17.12923154420807
2025-08-26,47522,44877.83259296442,2644.1674070355803,2644.1674070355803,5.564091172584446
2025-08-27,44183,44877.116376222424,-694.1163762224242,694.1163762224242,1.5710032732553791
2025-08-28,44622,44876.5191703369,-254.51917033689824,254.51917033689824,0.5703894274951778
2025-08-29,39412,44876.03832943973,-5464.0383294397325,5464.0383294397325,13.863895081294359
2025-08-30,49587,44875.6710691554,4711.3289308445965,4711.3289308445965,9.501137255418953
2025-08-31,42500,44875.41487441138,-2375.4148744113772,2375.4148744113772,5.58921146920324
2025-09-01,44022,44875.263394106456,-853.263394106456,853.263394106456,1.9382658536787425
2025-09-02,40635,44875.20416135869,-4240.204161358692,4240.204161358692,10.434857047763483
2025-09-03,49556,44875.22792990879,4680.7720700912105,4680.7720700912105,9.445419465031904
2025-09-04,50050,44875.318144453806,5174.681855546194,5174.681855546194,10.339024686405983
2025-09-05,43862,44875.460142837685,-1013.4601428376845,1013.4601428376845,2.3105652793709464
2025-09-06,38948,44875.6398312091,-5927.639831209097,5927.639831209097,15.219368982256077
2025-09-07,39174,44875.842383407005,-5701.842383407005,5701.842383407005,14.555170223635589
2025-09-08,44242,44876.0587608881,-634.0587608881033,634.0587608881033,1.433160256968725
2025-09-09,44494,44876.27898618942,-382.2789861894198,382.2789861894198,0.8591697446608976
2025-09-10,42725,44876.489691038085,-2151.489691038085,2151.489691038085,5.035669259305055
2025-09-11,43336,44876.6841819404,-1540.6841819403999,1540.6841819403999,3.555206253323795
2025-09-12,42080,44876.85767760199,-2796.857677601991,2796.857677601991,6.646524899244274
2025-09-13,45679,44877.00386485328,801.9961351467209,801.9961351467209,1.7557217433541032
2025-09-14,40100,44877.11546682249,-4777.115466822492,4777.115466822492,11.913006151677036
2025-09-15,44652,44877.18962848793,-225.18962848793308,225.18962848793308,0.5043214827732981
2025-09-16,51198,44877.22534433775,6320.7746556622515,6320.7746556622515,12.345745255014359
2025-09-17,42627,44877.21898042887,-2250.218980428872,2250.218980428872,5.278858424071297
2025-09-18,43792,44877.168154578096,-1085.1681545780957,1085.1681545780957,2.4780054680720127
2025-09-19,50524,44877.08005627039,5646.919943729612,5646.919943729612,11.17670798774763
2025-09-20,46266,44876.968199150964,1389.0318008490358,1389.0318008490358,3.002273377532174
2025-09-21,46099,44876.84209615749,1222.1579038425116,1222.1579038425116,2.65115925257058
2025-09-22,47080,44876.71205029542,2203.2879497045797,2203.2879497045797,4.679880946696219
2025-09-23,45771,44876.59058203859,894.4094179614112,894.4094179614112,1.9540963010670758
2025-09-24,47713,44876.489892604164,2836.510107395836,2836.510107395836,5.944941855250845
2025-09-25,46612,44876.41740044983,1735.5825995501727,1735.5825995501727,3.7234673464991266
2025-09-26,47298,44876.37022736601,2421.629772633991,2421.629772633991,5.119941165871687
